Date,Description,Amount
2025-01-02,NORTHSTAR STREAMING SUBSCRIPTION,-8.00
2025-01-03,FIREFLY FILMS SUBSCRIPTION,-9.17
2025-01-04,HARBOUR TV SUBSCRIPTION,-10.34
2025-01-05,ORCHARD MUSIC SUBSCRIPTION,-11.51
2025-01-06,PAPERPLANE CLOUD SUBSCRIPTION,-12.68
2025-01-07,LANTERN NOTES SUBSCRIPTION,-13.85
2025-01-08,COPPER CRM SUBSCRIPTION,-14.02
2025-01-09,WILLOW PASSWORDS SUBSCRIPTION,-15.19
2025-01-10,MORNING LEDGER SUBSCRIPTION,-16.36
2025-01-11,CITY JOURNAL SUBSCRIPTION,-17.53
2025-01-12,WEEKLY REVIEW SUBSCRIPTION,-18.70
2025-01-13,SCIENCE MONTHLY SUBSCRIPTION,-19.87
2025-01-14,RIVER YOGA SUBSCRIPTION,-20.04
2025-01-15,SUMMIT FITNESS SUBSCRIPTION,-21.21
2025-01-16,CYCLE COACH SUBSCRIPTION,-22.38
2025-01-17,HOME PILATES SUBSCRIPTION,-23.55
2025-01-18,SEASIDE AUDIOBOOK SUBSCRIPTION,-24.72
2025-01-19,MAPLE LANGUAGE APP SUBSCRIPTION,-25.89
2025-01-20,NIGHT OWL SLEEP APP SUBSCRIPTION,-26.06
2025-01-21,ARCADE GAME PASS SUBSCRIPTION,-27.23
2025-01-22,NORTH COUNTY ENERGY,-28.40
2025-01-23,SUNWARD ELECTRIC,-29.57
2025-01-24,HEARTH GAS,-30.74
2025-01-25,GREEN GRID POWER,-31.91
2025-01-26,CITY WATER BILL,-32.08
2025-01-27,RIVER WATER SERVICES,-33.25
2025-01-28,HOME INSURANCE MONTHLY PREMIUM,-34.42
2025-01-29,MOTOR COVER MONTHLY PREMIUM,-35.59
2025-01-30,PET COVER MONTHLY PREMIUM,-36.76
2025-01-31,TRAVEL COVER ANNUAL PREMIUM,-37.93
2025-02-01,OAK STREET MONTHLY RENT,-38.10
2025-02-02,HARBOUR MORTGAGE REPAYMENT,-39.27
2025-02-03,CITY COUNCIL TAX BILL,-40.44
2025-02-04,BUILDING MONTHLY SERVICE CHARGE,-41.61
2025-02-05,COMMUNITY CREDIT LOAN REPAYMENT,-42.78
2025-02-06,STUDENT LOAN REPAYMENT,-43.95
2025-02-07,FAMILY LIFE MONTHLY PREMIUM,-44.12
2025-02-08,BOILER CARE MONTHLY PLAN,-45.29
2025-02-09,LANDLINE MONTHLY BILL,-46.46
2025-02-10,MUNICIPAL HEATING,-47.63
2025-02-11,CORNER CUP WEEKDAY COFFEE,-48.80
2025-02-12,MARKET WEEKLY BAKERY,-49.97
2025-02-13,LUNCHBOX WORKDAY CAFE,-50.14
2025-02-14,GREEN WEEKLY GROCER,-51.31
2025-02-15,RIVERSIDE WEEKDAY DELI,-52.48
2025-02-16,STATION WORKDAY CANTEEN,-53.65
2025-02-17,WEEKLY SUPERMARKET SHOP,-54.82
2025-02-18,FRIDAY TAKEAWAY,-55.99
2025-02-19,DAILY CITY BUS,-56.16
2025-02-20,WEEKLY METRO TOPUP,-57.33
2025-02-21,WORKDAY PARKING APP,-58.50
2025-02-22,COMMUTER FUEL,-59.67
2025-02-23,WEEKLY BIKE HIRE,-60.84
2025-02-24,COMMUTER FERRY TICKETS,-61.01
2025-02-25,LOCAL PHARMACY,-62.18
2025-02-26,HOMEWARE SHOP,-63.35
2025-02-27,STATIONERY STORE,-64.52
2025-02-28,HIGH STREET BOOKS,-65.69
2025-03-01,PET SUPPLIES SHOP,-66.86
2025-03-02,LOCAL HARDWARE,-67.03
2025-03-03,FURNITURE WAREHOUSE PURCHASE,-68.20
2025-03-04,ELECTRONICS OUTLET PURCHASE,-69.37
2025-03-05,GARDEN SHED PURCHASE,-70.54
2025-03-06,FORMALWEAR PURCHASE,-71.71
2025-03-07,KITCHEN APPLIANCE SALE,-72.88
2025-03-08,AIRLINE TICKET,-73.05
2025-03-09,HOLIDAY RAIL BOOKING,-74.22
2025-03-10,CAR HIRE WEEKEND,-75.39
2025-03-11,AIRPORT TRANSFER,-76.56
2025-03-12,COMMUNITY FUND DONATION,-77.73
2025-03-13,WILDLIFE APPEAL,-78.90
2025-03-14,LOCAL FOODBANK GIFT,-79.07
2025-03-15,MARATHON SPONSORSHIP,-80.24
2025-03-16,ROOF REPAIR,-81.41
2025-03-17,WINDOW INSTALLATION,-82.58
2025-03-18,BANK TRANSFER FEE,-83.75
2025-03-19,PASSPORT OFFICE,-84.92
2025-03-20,LOCAL SOLICITOR,-85.09
2025-03-21,WEDDING PHOTOGRAPHER,-86.26
2025-03-22,DENTAL CLINIC,-87.43
