Date,Description,Amount
2024-01-08,AMAZON MUSIC PAYMENT,-11.00
2024-01-08,BUSUU PAYMENT,-9.50
2024-01-08,PELOTON PAYMENT,-9.50
2024-01-08,PRIME VIDEO PAYMENT,-11.00
2024-01-08,STRIPE* ICLOUDPLUS,-7.10
2024-01-08,THE INDEPENDENT PAYMENT,-6.50
2024-02-08,AMAZON MUSIC PAYMENT,-11.00
2024-02-08,BUSUU PAYMENT,-9.50
2024-02-08,PELOTON PAYMENT,-9.50
2024-02-08,PRIME VIDEO PAYMENT,-11.00
2024-02-08,SQ *ICLOUDPLUS,-7.11
2024-02-08,THE INDEPENDENT PAYMENT,-6.50
2024-03-08,AMAZON MUSIC PAYMENT,-11.00
2024-03-08,BUSUU PAYMENT,-9.50
2024-03-08,PAYPAL *ICLOUDPLUS,-7.12
2024-03-08,PELOTON PAYMENT,-9.50
2024-03-08,PRIME VIDEO PAYMENT,-11.00
2024-03-08,THE INDEPENDENT PAYMENT,-6.50
2024-03-14,STRIPE* KOOFR,-84.00
2024-03-14,THE WEEK PAYMENT,-84.00
2024-04-08,AMAZON MUSIC PAYMENT,-11.00
2024-04-08,BUSUU PAYMENT,-9.50
2024-04-08,PELOTON PAYMENT,-9.50
2024-04-08,PRIME VIDEO PAYMENT,-11.00
2024-04-08,STRIPE* ICLOUDPLUS,-7.13
2024-04-08,THE INDEPENDENT PAYMENT,-6.50
2024-04-12,BUSUU PAYMENT,9.50
2024-05-08,AMAZON MUSIC PAYMENT,-11.00
2024-05-08,BUSUU PAYMENT,-9.50
2024-05-08,PELOTON PAYMENT,-9.50
2024-05-08,PRIME VIDEO PAYMENT,-13.00
2024-05-08,SQ *ICLOUDPLUS,-7.14
2024-05-08,THE INDEPENDENT PAYMENT,-6.50
2024-06-08,AMAZON MUSIC PAYMENT,-11.00
2024-06-08,BUSUU PAYMENT,-9.50
2024-06-08,PAYPAL *ICLOUDPLUS,-7.15
2024-06-08,PELOTON PAYMENT,-9.50
2024-06-08,PRIME VIDEO PAYMENT,-13.00
2024-06-08,THE INDEPENDENT PAYMENT,-6.50
2024-07-08,AMAZON MUSIC PAYMENT,-11.00
2024-07-08,PRIME VIDEO PAYMENT,-13.00
2024-07-08,STRIPE* ICLOUDPLUS,-7.16
2024-07-08,THE INDEPENDENT PAYMENT,-6.50
2024-08-08,AMAZON MUSIC PAYMENT,-11.00
2024-08-08,PRIME VIDEO PAYMENT,-13.00
2024-08-08,SQ *ICLOUDPLUS,-7.17
2024-08-08,THE INDEPENDENT PAYMENT,-6.50
2024-09-08,PAYPAL *ICLOUDPLUS,-9.20
2024-09-08,THE INDEPENDENT PAYMENT,-6.50
2024-10-08,STRIPE* ICLOUDPLUS,-9.21
2024-10-08,THE INDEPENDENT PAYMENT,-6.50
2024-11-08,SQ *ICLOUDPLUS,-9.22
2024-11-08,THE INDEPENDENT PAYMENT,-6.50
2024-11-12,THE INDEPENDENT PAYMENT,6.50
2024-12-08,PAYPAL *ICLOUDPLUS,-9.23
2025-02-06,STRIPE* HAYWARDMARKET,-22.40
2025-02-08,AMAZON MUSIC PAYMENT,-11.00
2025-02-08,PRIME VIDEO PAYMENT,-13.00
2025-03-08,AMAZON MUSIC PAYMENT,-11.00
2025-03-08,PRIME VIDEO PAYMENT,-13.00
2025-03-14,SQ *KOOFR,-84.00
2025-03-14,THE WEEK PAYMENT,-84.00
2025-04-08,AMAZON MUSIC PAYMENT,-11.00
2025-04-08,PRIME VIDEO PAYMENT,-13.00
2025-05-08,AMAZON MUSIC PAYMENT,-11.00
2025-05-08,PRIME VIDEO PAYMENT,-13.00
2025-05-18,SQ *HAYWARDMARKET,-31.10
2025-05-20,PAYPAL *HAYWARDMARKET,31.10
2025-07-12,WYNDHAM PASS PAYMENT,-96.00
2025-07-12,WYNDHAM PASS PAYMENT,-96.00
